"";"var";"en";"de"
"1";"task_title";"Pedigree analysis";"Stammbaumanalyse"
"2";"task_text";"<p><b>Task:</b></p><p>Examine the present pedigree as closely as possible to determine the mode of inheritance. You can assume that the trait shown is rather rare.</p><p>Caution: Sometimes, it is not possible to rule out three of the four modes of inheritance. First try to exclude as many modes of inheritance as possible without doubt. Afterwards, you should look for other clues that can help you decide which mode of inheritance is most likely.</p>";"<p><b>Aufgabenstellung:</b></p><p>Untersuche den vorliegenden Stammbaum so genau wie möglich, um den Erbgang zu bestimmen. Du kannst davon ausgehen, dass das dargestellte Merkmal eher selten ist.</p><p>Achtung: Es können nicht immer drei der vier fraglichen Erbgänge eindeutig ausgeschlossen werden. Versuche zunächst so viele Erbgänge wie möglich zweifelsfrei auszuschließen. Im Anschluss solltest du nach weiteren Hinweisen suchen, die dir dabei helfen können, zu entscheiden, um welchen Erbgang es sich am ehesten handelt.</p>"
"3";"description_global";"<p><h2 class = ""center""><i>pedana</i></h4></p><p class = ""center"">Dynamically generated pedigree problems regarding the four typical modes of inheritance:</p><p class = ""center"">autosomal dominant • autosomal recessive<br/>X-linked dominant • X-linked recessive</p><p><h3>Select practice mode</h4></p>";"<p><h2 class = ""center""><i>pedana</i></h4></p><p class = ""center"">Dynamisch generierte Stammbaumaufgaben zu vier typischen Erbgängen:</p><p class = ""center"">autosomal dominant • autosomal rezessiv<br/>X-chromosomal dominant • X-chromosomal rezessiv</p><p><h3>Übungsmodus wählen</h4></p>"
"4";"description_lvl1";"<p><h4>Worked-Out Example</h4></p><p>You will be shown a complete worked-out example.</p><p><b>Goal</b>: Get used to the app and how to build a good solution.</p><br/><br/><p><h4>Advanced Settings</h4></p>";"<p><h4>Beispiellösung</h4></p><p>Du bekommst eine vollständige Musterlösung angezeigt.</p><p><b>Ziel</b>: Mach dich mit der App und dem Aufbau einer vollständigen Lösung vertraut.</p><br/><br/><p><h4>Erweiterte Einstellungen</h4></p>"
"5";"description_lvl2";"<p><h4>Progressive Practice Mode</h4></p><p>You will receive multiple tasks in a row. The tasks will be partially filled in. Complete the analysis and receive a detailed feedback on your input. The problems become gradually more open. You can edit your explanation twice per task.</p><p><b>Goal</b>: Learn formulating complete and coherent explanations.</p><br/><br/><p><h4>Advanced Settings</h4></p>";"<p><h4>Gestufter Übungsmodus</h4></p><p>Du erhältst mehrere Aufgaben nacheinander. Es werden teilweise bearbeitete Stammbaumanalysen vorgegeben. Vervollständige jeweils die Analyse und lass dir detailliertes Feedback zu deinen Eingaben anzeigen. Die Aufgaben werden schrittweise offener gestaltet. Pro Aufgabe kannst du deine Eingaben zwei Mal überarbeiten.</p><p><b>Ziel</b>: Lerne, vollständige und schlüssige Erklärungen zu formulieren.</p><br/><br/><p><h4>Erweiterte Einstellungen</h4></p>"
"6";"description_lvl3";"<p><h4>Free Practice Mode</h4></p><p>Analyse a pedigree, create a complete explanation and get detailed feedback. You can edit your explanation twice per task.</p><p><b>Goal</b>: Practice formulating complete and coherent explanations.</p><br/><br/><p><h4>Advanced Settings</h4></p>";"<p><h4>Offener Übungsmodus</h4></p><p>Analysiere den Stammbaum, erstelle eine vollständige Erklärung und lass dir detailliertes Feedback anzeigen. Pro Aufgabe kannst du deine Eingaben zwei Mal überarbeiten.</p><p><b>Ziel</b>: Übe, vollständige und schlüssige Erklärungen zu formulieren.</p><br/><br/><p><h4>Erweiterte Einstellungen</h4></p>"
"7";"fb_conclusion_correct_evidence_correct_const";"<b>The conclusion is correct and well justified.</b>";"<b>Die Schlussfolgerung ist richtig und gut begründet.</b>"
"8";"fb_conclusion_correct_evidence_correct_superficial";"<b>The conclusion is reasonable and well justified.</b>";"<b>Die Schlussfolgerung ist sinnvoll und gut begründet.</b>"
"9";"fb_conclusion_correct_evidence_incorrect";"<b>The conclusion is correct but the justification is not sound.</b>";"<b>Die Schlussfolgerung ist korrekt, aber die Begründung ist nicht überzeugend.</b>"
"10";"fb_conclusion_incorrect";"<b>The conclusion is not correct.</b>";"<b>Die Schlussfolgerung ist nicht korrekt.</b>"
